open,high,low,close,adjusted_close,volume,dividend_amount
144.25,158.75,143.9,153.41,115.778,43694755,1.62
138.5,144.05,134.97,143.73,107.339,34661511,0.0
137.81,145.79,137.6,140.56,104.9716,34829367,0.0
135.48,138.33,135.07,138.31,103.2913,20831539,0.0
133.42,137.87,133.2,136.69,102.0815,17020619,0.0
135.2,135.92,132.4,134.34,100.3265,13418364,0.0
135.78,136.15,134.61,135.27,101.021,8887084,0.0
134.94,136.42,133.46,135.59,101.26,20036502,0.0
133.35,135.66,133.26,134.21,100.2294,17504239,0.0
134.45,134.5,130.69,133.22,99.4901,17337693,0.0
134.47,136.15,133.03,134.45,100.4086,11502959,0.0
134.3,135.38,132.75,134.34,100.3265,16963107,0.0
137.2,137.2,133.33,134.4,100.3713,16169172,0.0
136.24,139.14,136.16,137.61,102.7685,17174941,1.62
136.0,136.63,133.2,135.53,100.0382,16136475,0.0
132.61,135.93,130.9,135.44,99.9717,19388201,0.0
142.31,143.72,132.25,134.09,98.9753,34208011,0.0
142.26,144.5,138.25,142.76,105.3748,14096608,0.0
143.73,147.35,139.18,142.99,105.5446,15911420,0.0
141.19,145.09,140.56,143.24,105.7291,12376163,0.0
142.56,145.03,140.51,141.88,104.7253,15262993,0.0
140.59,145.46,140.46,143.67,106.0465,17776693,0.0
134.85,141.7,133.33,140.57,103.7583,12663912,0.0
131.05,136.07,129.16,135.53,100.0382,16211916,0.0
134.88,136.33,128.83,129.57,95.6389,16504912,0.0
135.66,136.57,130.25,133.76,98.7317,20933133,0.0
144.98,145.1,135.35,136.13,100.4811,28623442,1.62
151.11,152.95,145.59,147.25,107.4466,22876887,0.0
150.16,151.94,148.38,151.36,110.4456,16794485,0.0
142.89,151.58,141.95,149.68,109.2197,31893327,0.0
141.05,142.92,139.13,142.74,104.1557,13194248,0.0
139.6,141.82,139.28,141.38,103.1633,9862722,0.0
139.2,140.15,137.84,137.9,100.624,15575818,0.0
135.39,139.54,134.7,139.2,101.5726,15851123,0.0
134.38,136.46,133.91,135.15,98.6174,13722199,0.0
127.1,134.72,127.06,133.31,97.2747,16193845,0.0
132.13,132.64,126.85,126.99,92.6631,14869322,0.0
133.53,137.06,130.44,132.28,96.5232,15557532,0.0
133.28,136.11,130.96,134.32,98.0117,16426011,0.0
138.3,140.69,132.42,135.32,98.7414,19509963,1.62
139.15,141.81,138.68,140.25,101.1283,16772230,0.0
139.42,141.31,137.71,139.44,100.5442,16961387,0.0
144.4,145.39,136.26,140.33,101.186,27390537,0.0
143.02,144.44,141.84,144.35,104.0846,13675882,0.0
141.51,144.22,141.51,143.28,103.3131,14574262,0.0
139.06,141.22,138.35,141.1,101.7412,14257045,0.0
139.83,142.12,138.72,139.45,100.5514,17883337,0.0
136.03,140.33,135.84,139.43,100.537,20959826,0.0
139.99,140.08,133.58,135.09,97.4076,18558647,0.0
140.0,140.49,137.72,139.2,100.3712,15273342,0.0
137.81,139.38,137.22,139.25,100.4072,13238819,0.0
134.29,138.19,133.91,138.03,99.5275,17299173,0.0
134.02,136.65,132.12,133.71,96.4126,21874687,1.57
133.1,135.41,132.58,134.1,95.5673,23585862,0.0
123.3,135.0,121.54,133.97,95.4746,44147478,0.0
120.51,124.72,119.76,123.82,88.2412,23616108,0.0
117.5,121.86,116.67,121.46,86.5593,19780844,0.0
113.33,117.49,111.69,117.32,83.6089,18047093,0.0
109.9,114.8,105.94,113.03,80.5516,21630293,0.0
119.07,120.27,110.44,110.94,79.0621,39485288,0.0
119.74,123.81,118.52,119.9,85.4475,23701178,0.0
125.67,126.59,118.87,119.34,85.0484,25801474,0.0
118.37,124.69,118.06,124.27,88.5618,27471124,0.0
121.63,122.18,116.7,117.19,83.5162,18035587,0.0
123.5,123.57,119.51,121.57,86.6377,23510061,0.0
116.1,125.06,116.0,123.54,88.0416,48482997,1.57
119.34,123.95,114.09,115.67,81.3972,87773431,0.0
