IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Life expectancy at birth (years),Jordan,SEX_FMLE,76.98049927
Life expectancy at birth (years),Jordan,SEX_BTSX,75.6497345
Life expectancy at birth (years),Jordan,SEX_MLE,74.56877899
Age-standardized prevalence of obesity among adults (18+ years) (%),Kazakhstan,SEX_BTSX,18.37641907
Life expectancy at birth (years),Kazakhstan,SEX_BTSX,70.2751236
Life expectancy at birth (years),Kazakhstan,SEX_FMLE,73.93874359
Life expectancy at birth (years),Kazakhstan,SEX_MLE,66.36555481
Age-standardized prevalence of obesity among adults (18+ years) (%),Kenya,SEX_BTSX,12.41028023
Life expectancy at birth (years),Kenya,SEX_BTSX,66.76222229
Life expectancy at birth (years),Kenya,SEX_FMLE,69.21556854
Life expectancy at birth (years),Kenya,SEX_MLE,64.39587402
Age-standardized prevalence of obesity among adults (18+ years) (%),Kiribati,SEX_BTSX,46.30316925
Life expectancy at birth (years),Kiribati,SEX_MLE,57.7769928
Life expectancy at birth (years),Kiribati,SEX_FMLE,63.95899963
Life expectancy at birth (years),Kiribati,SEX_BTSX,60.87345505
Age-standardized prevalence of obesity among adults (18+ years) (%),Kuwait,SEX_BTSX,41.4169693
Life expectancy at birth (years),Kuwait,SEX_MLE,77.31715393
Life expectancy at birth (years),Kuwait,SEX_BTSX,78.95211792
Life expectancy at birth (years),Kuwait,SEX_FMLE,81.75064087
Age-standardized prevalence of obesity among adults (18+ years) (%),Kyrgyzstan,SEX_BTSX,26.59970093
Life expectancy at birth (years),Kyrgyzstan,SEX_BTSX,72.18500519
Life expectancy at birth (years),Kyrgyzstan,SEX_FMLE,75.75667572
Life expectancy at birth (years),Kyrgyzstan,SEX_MLE,68.53290558
