OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
12915,YEM,Yemen,Az Zahr,Az Zahr; As Sirm; Bayt al Maq`ad; Mazrat; Ribat Bal `Askari; Suq al Ahad,1758.223634123803549,-9999.000000000000000,-9999.000000000000000,0.090258127481626,0.000333658319517
12916,YEM,Yemen,Bani Sari,Bani Sari; Al Magharibah; Dar al Aruq; Ad Dihar al Uruq; Suq al Hariyah; Al A`ruq; Al Qurayyah; Adan Barakah; Qaryat al Jubib; Ar Rajimah; Qaryat an Nawbah; Hamada; Al Khawamis; Al Mufayjir; Al Mazbiyah; As Sunayfa; Qaryat an Nawbah; Kuhlan,7408.754060268403009,-9999.000000000000000,-9999.000000000000000,0.110369410631917,0.000415524375658
12917,YEM,Yemen,Al Harid,Al Harid; Zirah; Al Ashraf; Az Zahrah; Shadahah; Musayniah; Al Madad; Mushayjibah; Qaryat al Armah; Bani Yusuf; Al Manbar; Ararah; Al Mizhanah; Ath Thulth,3462.707512378689898,-9999.000000000000000,-9999.000000000000000,0.093922500815153,0.000332543968038
12918,YEM,Yemen,Mahall Said,Mahall Said; قرية الحجر; Sutah; Al Jami; Suq at Ta`awin; Ad Dubr; Hujjirah; Dawrah; Ad Darah; Al Kammah; At Talabi; Kammat at Tanib; Hisn `Atif; Al Mubayah; Suq Saban,2376.872066020966486,-9999.000000000000000,-9999.000000000000000,0.073704917398381,0.000250000046425
12919,YEM,Yemen,Qaryat as Sunub,Qaryat as Sunub; Al Asrum; Kasharan; Al Haban; Al Iwar; Qaryat al Maqhayah; `Asum,1404.425770282744907,-9999.000000000000000,-9999.000000000000000,0.036789317947015,0.000083103037296
12920,YEM,Yemen,Khabzan,Khabzan; Ash Shara; Barat; Dihmah; Dahinah; Al Jaljalah; Labaqan; Hayjan,673.247009038924944,-9999.000000000000000,-9999.000000000000000,0.037091698154051,0.000084199433948
12921,YEM,Yemen,Wadi Shabaz,Wadi Shabaz; Rummadah; Al Jaziah; Shabaz; Al Hafah; Al Mawradah; Munah; Dihassah; Al Karab; Ar Ra'as; Dhi `Atam; An Nujadi; As Sarah; Mirwah; Al Mahbas; Al Amarinah; Al Barah; Al `Anwah; Dhu Ma`ayd; Dhu Nahabah; Ar Raqafah; Al Qasi`; Shalif; Mujarinah; Kh,2877.061152219771884,-9999.000000000000000,-9999.000000000000000,0.090065997341662,0.000332512986257
12922,YEM,Yemen,Sana'a,Sana'a,2294893.034723041579127,130218.413230895981542,5.674269399950985,0.871395261224240,0.016570630648249
12923,YEM,Yemen,Nidan,Nidan; Al Hilu; Al Uhshud; Hujafah; Yakhud; Musayniah; Al Almanah; Al Jawz; Duqil; Shiraykhud; As Sahaylah Bani `Awwad; Sharaf; Al Mazabir; As Sunah; Al Maaynah; Hazm al Udayn; Dafinah; Al Hazm; Nuwabah; Qaryat al Hulw; Hadid; Al Mawsatah; Al Mahalil,688.028319120407559,-9999.000000000000000,-9999.000000000000000,0.036810997750510,0.000083179574916
12924,YEM,Yemen,Ta'izz,Ta'izz,623229.370271684369072,-9999.000000000000000,-9999.000000000000000,0.322143501402919,0.003071698023290
