CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access,IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Chile,9601085.748557838,4290943.034847253,0.4469226863734435,Age-standardized prevalence of obesity among adults (18+ years) (%),Chile,SEX_BTSX,38.91461182
Chile,9601085.748557838,4290943.034847253,0.4469226863734435,Life expectancy at birth (years),Chile,SEX_BTSX,79.02404785
Chile,9601085.748557838,4290943.034847253,0.4469226863734435,Life expectancy at birth (years),Chile,SEX_FMLE,81.42331696
Chile,9601085.748557838,4290943.034847253,0.4469226863734435,Life expectancy at birth (years),Chile,SEX_MLE,76.68998718
China,563513405.5568962,182655176.28633744,0.324136346154582,Age-standardized prevalence of obesity among adults (18+ years) (%),China,SEX_BTSX,8.279529572
China,563513405.5568962,182655176.28633744,0.324136346154582,Life expectancy at birth (years),China,SEX_MLE,74.95413208
China,563513405.5568962,182655176.28633744,0.324136346154582,Life expectancy at birth (years),China,SEX_FMLE,80.52324677
China,563513405.5568962,182655176.28633744,0.324136346154582,Life expectancy at birth (years),China,SEX_BTSX,77.61619568
Colombia,21581324.851571288,6737895.113850598,0.312209521898746,Age-standardized prevalence of obesity among adults (18+ years) (%),Colombia,SEX_BTSX,23.61547089
Colombia,21581324.851571288,6737895.113850598,0.312209521898746,Life expectancy at birth (years),Colombia,SEX_FMLE,77.62155914
Colombia,21581324.851571288,6737895.113850598,0.312209521898746,Life expectancy at birth (years),Colombia,SEX_MLE,71.55393219
Colombia,21581324.851571288,6737895.113850598,0.312209521898746,Life expectancy at birth (years),Colombia,SEX_BTSX,74.53297424
Comoros,61923.824344158245,-3491.2444791793823,-0.0563796651152528,Age-standardized prevalence of obesity among adults (18+ years) (%),Comoros,SEX_BTSX,16.27774048
Comoros,61923.824344158245,-3491.2444791793823,-0.0563796651152528,Life expectancy at birth (years),Comoros,SEX_FMLE,68.72786713
Comoros,61923.824344158245,-3491.2444791793823,-0.0563796651152528,Life expectancy at birth (years),Comoros,SEX_BTSX,67.49703979
Comoros,61923.824344158245,-3491.2444791793823,-0.0563796651152528,Life expectancy at birth (years),Comoros,SEX_MLE,66.30130768
Costa Rica,2125787.08621418,865635.9624152177,0.4072072730279075,Age-standardized prevalence of obesity among adults (18+ years) (%),Costa Rica,SEX_BTSX,31.38760948
Costa Rica,2125787.08621418,865635.9624152177,0.4072072730279075,Life expectancy at birth (years),Costa Rica,SEX_MLE,75.87686157
Costa Rica,2125787.08621418,865635.9624152177,0.4072072730279075,Life expectancy at birth (years),Costa Rica,SEX_BTSX,78.63053131
